"","Date","Numero_sample","BIO_SAMPLE_ID","BIO_SAMPLE_ID3","BIO_SAMPLE_ID4","Bio.rep","Time_point_WRONG","Time_point","Time_point2","Culture","all_bio_cat_factor","TREATMENT","TREATMENT2","ORGANISM","ORGANISM2","TREATMENT3","CORRECTION2","Units","Filtered","Metabolites","PEAK_AREA_TIC","Class","PEAK_AREA","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"38","28.11.23","22","22_X.BF","45258_22_X.BF_62h_Peat_B.2","45258_22_X.BF_62h_Peat_B.2_Coculture_X.BF_Media.BacteriaFungi_P","B.2","62h","62h",62,"Coculture","Peat.3_X.BF_62h_P","Peat.3","Peat","X.BF","Media.BacteriaFungi","P",0.597879941,"AREA / TIC","IN","Alanine_1Bz",774158.7707,"Amino_Acids",462854.000150749,5.8888300384189,5.66544402141064
"39","28.11.23","23","23_X.X","45258_23_X.X_24h_Peat_B.2","45258_23_X.X_24h_Peat_B.2_Media_X.X_Media.Media_P","B.2","24h","24h",24,"Media","Peat.2_X.X_24h_P","Peat.2","Peat","X.X","Media.Media","P",5.775361294,"AREA / TIC","OUT","Alanine_1Bz",4159785.817,"Amino_Acids",24024265.998832,6.61907096983595,7.38065012776507
"40","28.11.23","23","23_X.X","45258_23_X.X_62h_Peat_B.2","45258_23_X.X_62h_Peat_B.2_Media_X.X_Media.Media_P","B.2","62h","62h",62,"Media","Peat.2_X.X_62h_P","Peat.2","Peat","X.X","Media.Media","P",4.168833177,"AREA / TIC","OUT","Alanine_1Bz",4940637.374,"Amino_Acids",20596693.0002574,6.69378297931946,7.31379749575592
"41","28.11.23","24","24_X.X","45258_24_X.X_24h_Peat_B.2","45258_24_X.X_24h_Peat_B.2_Media_X.X_Media.Media_P","B.2","24h","24h",24,"Media","Peat.3_X.X_24h_P","Peat.3","Peat","X.X","Media.Media","P",4.474497392,"AREA / TIC","OUT","Alanine_1Bz",3518401.201,"Amino_Acids",15743076.9978842,6.54634536026239,7.19708961954786
"42","28.11.23","24","24_X.X","45258_24_X.X_62h_Peat_B.2","45258_24_X.X_62h_Peat_B.2_Media_X.X_Media.Media_P","B.2","62h","62h",62,"Media","Peat.3_X.X_62h_P","Peat.3","Peat","X.X","Media.Media","P",5.263719518,"AREA / TIC","OUT","Alanine_1Bz",2831053.773,"Amino_Acids",14901873.0014476,6.45194811842741,7.17324085788015
"43","28.11.23","25","25_F.B","45258_25_F.B_24h_Peat_B.3","45258_25_F.B_24h_Peat_B.3_Coculture_F.B_Fungi.Bacteria_P","B.3","24h","24h",24,"Coculture","Peat.4_F.B_24h_P","Peat.4","Peat","F.B","Fungi.Bacteria","P",1.27296517,"AREA / TIC","IN","Alanine_1Bz",4127983.329,"Amino_Acids",5254779.00015765,6.61573793470977,6.72055445565821
"44","28.11.23","25","25_F.B","45258_25_F.B_62h_Peat_B.3","45258_25_F.B_62h_Peat_B.3_Coculture_F.B_Fungi.Bacteria_P","B.3","62h","62h",62,"Coculture","Peat.4_F.B_62h_P","Peat.4","Peat","F.B","Fungi.Bacteria","P",0.553130192,"AREA / TIC","IN","Alanine_1Bz",2685971.623,"Amino_Acids",1485691.99953654,6.42910142008265,6.17192878468296
"45","28.11.23","27","27_B.F","45258_27_B.F_24h_Peat_B.3","45258_27_B.F_24h_Peat_B.3_Coculture_B.F_Bacteria.Fungi_P","B.3","24h","24h",24,"Coculture","Peat.4_B.F_24h_P","Peat.4","Peat","B.F","Bacteria.Fungi","P",1.126976037,"AREA / TIC","IN","Alanine_1Bz",5075438.885,"Amino_Acids",5719898.000653,6.70547360266257,6.75738828436146
"46","28.11.23","27","27_B.F","45258_27_B.F_62h_Peat_B.3","45258_27_B.F_62h_Peat_B.3_Coculture_B.F_Bacteria.Fungi_P","B.3","62h","62h",62,"Coculture","Peat.4_B.F_62h_P","Peat.4","Peat","B.F","Bacteria.Fungi","P",0.566447249,"AREA / TIC","IN","Alanine_1Bz",2748199.416,"Amino_Acids",1556709.99889661,6.43904824298947,6.19220771493837
"47","28.11.23","28","28_B.F","45258_28_B.F_24h_Peat_B.3","45258_28_B.F_24h_Peat_B.3_Coculture_B.F_Bacteria.Fungi_P","B.3","24h","24h",24,"Coculture","Peat.5_B.F_24h_P","Peat.5","Peat","B.F","Bacteria.Fungi","P",1.388966578,"AREA / TIC","IN","Alanine_1Bz",3268049.118,"Amino_Acids",4539211.00016438,6.51428857525207,6.65698037090703
