Well	Value	Value2	Measurement_mode	Measurement_wavelength	Row	Row_num	Column	Strain	SM	Time	Time2	Expe	Media	Species	Kingdom	Phylum	Class	Order	Family	Genus
F3	0.604	0.404	Absorbance	600	F	6	3	R329	Control	T72	72	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F4	0.746	0.546	Absorbance	600	F	6	4	R329	Control	T72	72	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B5	0.201	0.101	Absorbance	600	B	2	5	R431	Control	T72	72	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
B6	0.156	0.056	Absorbance	600	B	2	6	R431	Control	T72	72	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
B7	0.189	0.089	Absorbance	600	B	2	7	R431	Control	T72	72	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
E2	0.556	0.456	Absorbance	600	E	5	2	R318	Control	T72	72	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E3	0.548	0.448	Absorbance	600	E	5	3	R318	Control	T72	72	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E4	0.388	0.288	Absorbance	600	E	5	4	R318	Control	T72	72	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
A1	0.24	0.242	Absorbance	600	A	1	5	R565	Control	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
A2	0.34	0.296	Absorbance	600	A	2	6	R565	Control	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
A3	0.402	0.357	Absorbance	600	A	3	7	R565	Control	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
A4	0.165	0.11	Absorbance	600	A	4	5	R568	Control	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
A5	0.218	0.153	Absorbance	600	A	5	6	R568	Control	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
A6	0.308	0.214	Absorbance	600	A	6	7	R568	Control	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
A7	0.31	0.249	Absorbance	600	A	7	5	R651	Control	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
A8	0.23	0.241	Absorbance	600	A	8	6	R651	Control	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
A9	0.38	0.375	Absorbance	600	A	9	7	R651	Control	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
A10	0.34	0.372	Absorbance	600	A	10	2	R147	Control	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
A11	0.33	0.204	Absorbance	600	A	11	3	R147	Control	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
A12	0.34	0.329	Absorbance	600	A	12	4	R147	Control	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
B1	0.697	0.553	Absorbance	600	B	1	9	BFSC	Control	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
B2	0.539	0.392	Absorbance	600	B	2	10	BFSC	Control	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
