Date	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID3	BIO_SAMPLE_ID4	Bio.rep	Time_point_WRONG	Time_point	Time_point2	Culture	all_bio_cat_factor	TREATMENT	TREATMENT2	ORGANISM	ORGANISM2	TREATMENT3	CORRECTION2	2-phosphoglyceric acid (2PG) and (3PG)	alpha-ketoglutaric acid	cis-aconitic acid	citric acid	fumaric acid	gluconic acid	glyceric acid	glycerol 3-phosphate	Hexose	isocitric acid	lactic acid	malic acid	maltose_sucrose	mannitol_sorbitol	pyruvic acid	succinic acid	Units
08.12.23	6	06_X.B	45268_06_X.B_24h_Peat.A.B_B.1	45268_06_X.B_24h_Peat.A.B_B.1_Single_X.B_Media.Bacteria_PAB	B.1	24h	24h	24	Single	Peat1_X.B_24h_PAB	Peat1	Peat.A.B	X.B	Media.Bacteria	PAB	1.966727788	393955.3836		4473885.026	26422493.91		1402174220	90188038.28	1394593.607	204479178.8	139174863.3	45442165.69	178969565.7	30673313.5	820667.7153	43624794.72	63925420.59	AREA / TIC
08.12.23	6	06_X.B	45268_06_X.B_62h_Peat.A.B_B.1	45268_06_X.B_62h_Peat.A.B_B.1_Single_X.B_Media.Bacteria_PAB	B.1	62h	62h	62	Single	Peat1_X.B_62h_PAB	Peat1	Peat.A.B	X.B	Media.Bacteria	PAB	1.753090014	285435.9993		4273702.4	39279770.83		1396379791	74357671.29	555575.5792	198179283	151113287.9	51283866.93	161705987	87107477.53	730699.5019	28330542.99	38574063.77	AREA / TIC
08.12.23	7	07_X.F	45268_07_X.F_24h_Peat.A.B_B.1	45268_07_X.F_24h_Peat.A.B_B.1_Single_X.F_Media.Fungi_PAB	B.1	24h	24h	24	Single	Peat1_X.F_24h_PAB	Peat1	Peat.A.B	X.F	Media.Fungi	PAB	1.987176045	467212.7577		3572756.434	31459295.29		1292526358	90212362.64	4611661.872	191757674.9	141658999.3	91325783.87	172475762.7	27795378.84	3864350.629	77912634.06	102516924.2	AREA / TIC
08.12.23	7	07_X.F	45268_07_X.F_62h_Peat.A.B_B.1	45268_07_X.F_62h_Peat.A.B_B.1_Single_X.F_Media.Fungi_PAB	B.1	62h	62h	62	Single	Peat1_X.F_62h_PAB	Peat1	Peat.A.B	X.F	Media.Fungi	PAB	2.145461511	339131.2294		3588316.062	27998136.85		1380027616	72166817.81	3052800.978	179237666.1	117286372.5	124893822.4	166158309.1	26118131.56	726545.3106	61927195.76	68636293.98	AREA / TIC
08.12.23	8	08_X.F	45268_08_X.F_24h_Peat.A.B_B.1	45268_08_X.F_24h_Peat.A.B_B.1_Single_X.F_Media.Fungi_PAB	B.1	24h	24h	24	Single	Peat1_X.F_24h_PAB	Peat1	Peat.A.B	X.F	Media.Fungi	PAB	1.063473422	701775.883		3504938.555	35279930.1		1241178796	108020802	4300009.67	188805358.7	118921582.2	123915286.7	172484602	19801582.77	4108518.284	112605202.4	98528770.72	AREA / TIC
08.12.23	8	08_X.F	45268_08_X.F_62h_Peat.A.B_B.1	45268_08_X.F_62h_Peat.A.B_B.1_Single_X.F_Media.Fungi_PAB	B.1	62h	62h	62	Single	Peat1_X.F_62h_PAB	Peat1	Peat.A.B	X.F	Media.Fungi	PAB	1.196955801	566924.0248		2906313.665	23930167.67		1326466374	74077815.53	3570905.457	180019330.6	104716051.3	177112523.2	157146778.4	17061933.27	893640.3494	91156045.97	72532352.45	AREA / TIC
08.12.23	9	09_X.BF	45268_09_X.BF_24h_Peat.A.B_B.1	45268_09_X.BF_24h_Peat.A.B_B.1_Coculture_X.BF_Media.BacteriaFungi_PAB	B.1	24h	24h	24	Coculture	Peat1_X.BF_24h_PAB	Peat1	Peat.A.B	X.BF	Media.BacteriaFungi	PAB	1.937411534	715796.8123		4954061.557	68952001		1410941783	79508060.79	1634129.84	188197057.6	147559228.4	46513867.83	153710028.5	30475085.43	860563.6805	41299926.01	56835565.44	AREA / TIC
08.12.23	9	09_X.BF	45268_09_X.BF_62h_Peat.A.B_B.1	45268_09_X.BF_62h_Peat.A.B_B.1_Coculture_X.BF_Media.BacteriaFungi_PAB	B.1	62h	62h	62	Coculture	Peat1_X.BF_62h_PAB	Peat1	Peat.A.B	X.BF	Media.BacteriaFungi	PAB	1.728202922	202517.306		4918425.315	24736382.78		1474361950	74076736.23	860994.9568	208332796.7	138955762.6	40400466.93	151789851	32608075.87	626361.0519	29086908.93	51199926.17	AREA / TIC
08.12.23	10	10_X.BF	45268_10_X.BF_24h_Peat.A.B_B.1	45268_10_X.BF_24h_Peat.A.B_B.1_Coculture_X.BF_Media.BacteriaFungi_PAB	B.1	24h	24h	24	Coculture	Peat1_X.BF_24h_PAB	Peat1	Peat.A.B	X.BF	Media.BacteriaFungi	PAB	0.911895154	831141.6031		4285685.678	25686333.46		1299861636	121108108.3	2208065.249	212539916.7	121942709.7	58777622.38	201693358.3	23807405.83	899346.8126	71233668.4	87282158.12	AREA / TIC
08.12.23	10	10_X.BF	45268_10_X.BF_62h_Peat.A.B_B.1	45268_10_X.BF_62h_Peat.A.B_B.1_Coculture_X.BF_Media.BacteriaFungi_PAB	B.1	62h	62h	62	Coculture	Peat1_X.BF_62h_PAB	Peat1	Peat.A.B	X.BF	Media.BacteriaFungi	PAB	0.874762783	420596.3115		4402414.088	29934748.61		1382934458	97735309.11	1084220.795	213337949	132515713.1	50344870.46	180935857.2	21654769	878100.9148	38671423.45	77306726.25	AREA / TIC
08.12.23	11	11_X.X	45268_11_X.X_24h_Peat.A.B_B.1	45268_11_X.X_24h_Peat.A.B_B.1_Media_X.X_Media.Media_PAB	B.1	24h	24h	24	Media	Peat1_X.X_24h_PAB	Peat1	Peat.A.B	X.X	Media.Media	PAB	1.836229434	518085.5846		4663046.371	33252835.87		1247086149	91506598.71	3351229.909	187470939.4	127728256.9	114388644.5	174286337.5	30082716.23	793443.8762	93543916.56	123484955.5	AREA / TIC
08.12.23	11	11_X.X	45268_11_X.X_62h_Peat.A.B_B.1	45268_11_X.X_62h_Peat.A.B_B.1_Media_X.X_Media.Media_PAB	B.1	62h	62h	62	Media	Peat1_X.X_62h_PAB	Peat1	Peat.A.B	X.X	Media.Media	PAB	1.739392202	1013860.473		4131872.036	38056879.25		1311895067	82456203.86	3604182.537	233752831.3	130794091.6	96110790.77	155683378.2	30093985.09	809452.2893	61944247.46	81810313.87	AREA / TIC
08.12.23	12	12_X.X	45268_12_X.X_24h_Peat.A.B_B.1	45268_12_X.X_24h_Peat.A.B_B.1_Media_X.X_Media.Media_PAB	B.1	24h	24h	24	Media	Peat1_X.X_24h_PAB	Peat1	Peat.A.B	X.X	Media.Media	PAB	1.099009982	654546.3754		3176448.857	32855997.31		1219497273	111152176.1	5388037.506	179380621	108110717.8	142608312.6	176974760.2	18169885.02	907504.9514	115652420	117628454.8	AREA / TIC
08.12.23	12	12_X.X	45268_12_X.X_62h_Peat.A.B_B.1	45268_12_X.X_62h_Peat.A.B_B.1_Media_X.X_Media.Media_PAB	B.1	62h	62h	62	Media	Peat1_X.X_62h_PAB	Peat1	Peat.A.B	X.X	Media.Media	PAB	1.028473543	618530.2522		3353902.512	32364946.31		1295949210	95949763.28	4540274.304	191800327.1	119812627	144266143.7	166090416.4	18051452.2	939127.7068	68292441.23	90127993.69	AREA / TIC
08.12.23	13	13_F.B	45268_13_F.B_24h_Peat.A.B_B.2	45268_13_F.B_24h_Peat.A.B_B.2_Coculture_F.B_Fungi.Bacteria_PAB	B.2	24h	24h	24	Coculture	Peat2_F.B_24h_PAB	Peat2	Peat.A.B	F.B	Fungi.Bacteria	PAB	1.56563317	410638.3363		3314662.145	33476786.27		1437314228	87836290.57	1523174.806	193848556.6	125700269.3	60487336.91	145588088.2	33178186.32	2399016.624	48443808.85	58636113.36	AREA / TIC
08.12.23	13	13_F.B	45268_13_F.B_62h_Peat.A.B_B.2	45268_13_F.B_62h_Peat.A.B_B.2_Coculture_F.B_Fungi.Bacteria_PAB	B.2	62h	62h	62	Coculture	Peat2_F.B_62h_PAB	Peat2	Peat.A.B	F.B	Fungi.Bacteria	PAB	1.650546466	222362.1131		3003512.534	25550688.73		1522697709	72377494.02	772040.0643	186859546.4	114343150.5	54265102.4	135644652	28835183.97	576571.4686	31490735.38	55518407.31	AREA / TIC
08.12.23	14	14_F.B	45268_14_F.B_24h_Peat.A.B_B.2	45268_14_F.B_24h_Peat.A.B_B.2_Coculture_F.B_Fungi.Bacteria_PAB	B.2	24h	24h	24	Coculture	Peat2_F.B_24h_PAB	Peat2	Peat.A.B	F.B	Fungi.Bacteria	PAB	0.930958776	822612.1496		4050127.779	23944312.65		1399487076	107045836.6	2178835.467	193225614.9	115552130.5	46793387.76	172200044.9	22237764.48	2911381.33	58199013.09	83509018.87	AREA / TIC
